Entry	Entry name	Status	Protein names	Organism	Gene names  (primary )	Cross-reference (RefSeq)	Cross-reference (PhosphoSitePlus)
B0BNF1	SEPT8_RAT	reviewed	Septin-8	Rattus norvegicus (Rat)	Septin8		B0BNF1;
Q99MU5	SPAT6_RAT	reviewed	Spermatogenesis-associated protein 6 (Kinesin-related protein) (Spermatogenesis-related factor 1)	Rattus norvegicus (Rat)	Spata6		Q99MU5;
Q5JCS6	SI1L2_RAT	reviewed	Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2) (Serine-rich synapse-associated protein)	Rattus norvegicus (Rat)	Sipa1l2	NP_001009704.1;	Q5JCS6;
Q68FP5	SPN1_RAT	reviewed	Snurportin-1 (RNA U transporter 1)	Rattus norvegicus (Rat)	Snupn	NP_001004270.1;XP_006243187.1;XP_006243188.1;XP_006243189.1;	Q68FP5;
Q68G12	SIAT9_RAT	reviewed	Lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9) (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase) (Ganglioside GM3 synthase) (ST3Gal V) (ST3GalV) (Sialyltransferase 9)	Rattus norvegicus (Rat)	St3gal5	NP_112627.2;XP_006236739.1;XP_006236741.1;XP_008761218.1;	
P97588	SMAD1_RAT	reviewed	Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (SMAD family member 1) (SMAD 1) (Smad1)	Rattus norvegicus (Rat)	Smad1	NP_037262.2;	
Q5PQS6	SMG9_RAT	reviewed	Protein SMG9	Rattus norvegicus (Rat)	Smg9	NP_001014265.1;XP_006228512.1;	Q5PQS6;
P16086	SPTN1_RAT	reviewed	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	Rattus norvegicus (Rat)	Sptan1	NP_741984.2;	P16086;
Q99M76	STAG3_RAT	reviewed	Cohesin subunit SA-3 (SCC3 homolog 3) (Stromal antigen 3) (Stromalin-3)	Rattus norvegicus (Rat)	Stag3	NP_446182.1;XP_006249082.1;	Q99M76;
M0R8L2	SPXN_RAT	reviewed	Spexin (Liver regeneration-related protein LRRGT00060) (NPQ) (Neuropeptide Q) (Spexin hormone) [Cleaved into: Spexin-1; Spexin-2 (NPQ 53-70)]	Rattus norvegicus (Rat)	SPX	NP_001077402.2 [M0R8L2-1];	
P61959	SUMO2_RAT	reviewed	Small ubiquitin-related modifier 2 (SUMO-2) (SMT3 homolog 2) (Sentrin-2) (Ubiquitin-like protein SMT3A) (Smt3A)	Rattus norvegicus (Rat)	Sumo2	NP_598278.1;	P61959;
Q6AYE3	TAD2A_RAT	reviewed	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)	Rattus norvegicus (Rat)	Tada2a	NP_001012141.1;	Q6AYE3;
Q8VHQ7	SYTL4_RAT	reviewed	Synaptotagmin-like protein 4 (Exophilin-2) (Granuphilin)	Rattus norvegicus (Rat)	Sytl4	NP_536335.1 [Q8VHQ7-1];	Q8VHQ7;
O08625	SYT10_RAT	reviewed	Synaptotagmin-10 (Synaptotagmin X) (SytX)	Rattus norvegicus (Rat)	Syt10	NP_113854.1;	
O88370	PI42C_RAT	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma)	Rattus norvegicus (Rat)	Pip4k2c	NP_536728.2;	O88370;
P80250	PMCH_RAT	reviewed	Palmitoyl-CoA hydrolase (EC 3.1.2.2) (Long-chain fatty-acyl-CoA hydrolase) (Fragment)	Rattus norvegicus (Rat)			
P56223	PO6F1_RAT	reviewed	POU domain, class 6, transcription factor 1 (Brain-specific homeobox/POU domain protein 5) (Brain-5) (Brn-5)	Rattus norvegicus (Rat)	Pou6f1	NP_001099216.1;XP_017450058.1;XP_017450059.1;XP_017450060.1;	
P22062	PIMT_RAT	reviewed	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)	Rattus norvegicus (Rat)	Pcmt1	NP_037205.2;	P22062;
B1WBU8	PLHD1_RAT	reviewed	Pleckstrin homology domain-containing family D member 1 (PH domain-containing family D member 1)	Rattus norvegicus (Rat)	Plekhd1	NP_001121038.1;	
P21702	PR3D1_RAT	reviewed	Prolactin-3D1 (Chorionic somatomammotropin hormone 1) (Placental lactogen I) (PL-I)	Rattus norvegicus (Rat)	Prl3d1		
P18421	PSB1_RAT	reviewed	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	Rattus norvegicus (Rat)	Psmb1	NP_446042.1;	P18421;
Q68FY0	QCR1_RAT	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)	Rattus norvegicus (Rat)	Uqcrc1	NP_001004250.1;	Q68FY0;
O70597	PX11A_RAT	reviewed	Peroxisomal membrane protein 11A (28 kDa peroxisomal integral membrane protein) (PMP28) (Peroxin-11A) (Peroxisomal biogenesis factor 11A) (Peroxisomal coatomer receptor) (Peroxisomal membrane protein 26) (Pmp26p) (Protein PEX11 homolog alpha) (PEX11-alpha) (RnPEX11p)	Rattus norvegicus (Rat)	Pex11a	NP_445939.1;	
Q5FWT8	RCOR2_RAT	reviewed	REST corepressor 2	Rattus norvegicus (Rat)	Rcor2	NP_001014016.1;XP_001061203.1;XP_008758336.1;XP_008758337.1;XP_008768833.1;	Q5FWT8;
B2GV05	RBM5_RAT	reviewed	RNA-binding protein 5 (RNA-binding motif protein 5)	Rattus norvegicus (Rat)	Rbm5	NP_001094018.1;XP_006243800.1;XP_006243801.1;	B2GV05;
Q62636	RAP1B_RAT	reviewed	Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B)	Rattus norvegicus (Rat)	Rap1b	NP_599173.2;XP_008763599.1;	Q62636;
P61227	RAP2B_RAT	reviewed	Ras-related protein Rap-2b (EC 3.6.5.2)	Rattus norvegicus (Rat)	Rap2b	NP_596901.1;	
P35286	RAB13_RAT	reviewed	Ras-related protein Rab-13	Rattus norvegicus (Rat)	Rab13	NP_112354.1;	P35286;
P62824	RAB3C_RAT	reviewed	Ras-related protein Rab-3C	Rattus norvegicus (Rat)	Rab3c	NP_598220.1;	P62824;
Q6AXT5	RAB21_RAT	reviewed	Ras-related protein Rab-21	Rattus norvegicus (Rat)	Rab21	NP_001004238.1;	Q6AXT5;
P51146	RAB4B_RAT	reviewed	Ras-related protein Rab-4B (EC 3.6.5.2)	Rattus norvegicus (Rat)	Rab4b	NP_059051.1;XP_017445097.1;	
P63012	RAB3A_RAT	reviewed	Ras-related protein Rab-3A	Rattus norvegicus (Rat)	Rab3a	NP_037150.2;	P63012;
Q8CIX1	RIMS4_RAT	reviewed	Regulating synaptic membrane exocytosis protein 4 (RIM4 gamma) (Rab3-interacting molecule 4) (RIM 4)	Rattus norvegicus (Rat)	Rims4	NP_733766.1;	
P19944	RLA1_RAT	reviewed	60S acidic ribosomal protein P1	Rattus norvegicus (Rat)	Rplp1	NP_001007605.1;XP_003752993.1;XP_017456174.1;XP_017456175.1;	P19944;
Q9R154	S26A4_RAT	reviewed	Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4)	Rattus norvegicus (Rat)	Slc26a4	NP_062087.1;XP_008762798.1;XP_017449543.1;	
Q62773	S28A2_RAT	reviewed	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (rCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside cotransporter) (SPNT) (Solute carrier family 28 member 2)	Rattus norvegicus (Rat)	Slc28a2	NP_113852.1;	Q62773;
Q6B345	S10AB_RAT	reviewed	Protein S100-A11 (Calgizzarin) (S100 calcium-binding protein A11)	Rattus norvegicus (Rat)	S100a11	NP_001004095.1;XP_006232867.1;	
Q4V8K4	S2539_RAT	reviewed	Solute carrier family 25 member 39	Rattus norvegicus (Rat)	Slc25a39	NP_001019963.1;XP_006247436.1;XP_006247438.1;	Q4V8K4;
Q64093	S6A20_RAT	reviewed	Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A)	Rattus norvegicus (Rat)	Slc6a20	NP_579830.1;	
Q4V8F5	TADA3_RAT	reviewed	Transcriptional adapter 3 (ADA3 homolog) (Transcriptional adapter 3-like) (ADA3-like protein)	Rattus norvegicus (Rat)	Tada3	NP_001020905.1;XP_006237104.1;	Q4V8F5;
Q6AXQ0	SAE1_RAT	reviewed	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]	Rattus norvegicus (Rat)	Sae1	NP_001012063.1;	Q6AXQ0;
Q9Z335	SBK1_RAT	reviewed	Serine/threonine-protein kinase SBK1 (EC 2.7.11.1) (SH3-binding kinase 1)	Rattus norvegicus (Rat)	Sbk1	NP_671476.1;XP_008757084.1;XP_008757086.1;XP_008758076.1;XP_017444131.1;	Q9Z335;
Q9ET20	SCAM4_RAT	reviewed	Secretory carrier-associated membrane protein 4 (SCAMP-4) (Secretory carrier membrane protein 4)	Rattus norvegicus (Rat)	Scamp4	NP_113913.1;	
P21913	SDHB_RAT	reviewed	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	Rattus norvegicus (Rat)	Sdhb	NP_001094009.1;	P21913;
Q923V8	SEP15_RAT	reviewed	Selenoprotein F (15 kDa selenoprotein)	Rattus norvegicus (Rat)	Selenof	NP_579831.2;	
Q4V8G5	SEP12_RAT	reviewed	Septin-12	Rattus norvegicus (Rat)	Septin12	NP_001094335.1;	
Q5PQN6	SPE39_RAT	reviewed	Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction)	Rattus norvegicus (Rat)	Vipas39	NP_001094474.1;	Q5PQN6;
Q5RJT2	SPB1_RAT	reviewed	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	Rattus norvegicus (Rat)	Ftsj3	NP_001012014.1;	Q5RJT2;
Q99N01	SO4A1_RAT	reviewed	Solute carrier organic anion transporter family member 4A1 (Organic anion-transporting polypeptide E) (OATP-E) (Sodium-independent organic anion transporter E) (Solute carrier family 21 member 12)	Rattus norvegicus (Rat)	Slco4a1		
Q63556	SPA3M_RAT	reviewed	Serine protease inhibitor A3M (Serpin A3M) (Serine protease inhibitor 2.4) (SPI-2.4) (Fragment)	Rattus norvegicus (Rat)	Serpina3m		
P54921	SNAA_RAT	reviewed	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha)	Rattus norvegicus (Rat)	Napa	NP_542152.1;	P54921;
P85969	SNAB_RAT	reviewed	Beta-soluble NSF attachment protein (SNAP-beta) (N-ethylmaleimide-sensitive factor attachment protein beta)	Rattus norvegicus (Rat)	Napb		P85969;
Q9QX74	SHAN2_RAT	reviewed	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (GKAP/SAPAP-interacting protein) (Proline-rich synapse-associated protein 1) (ProSAP1) (SPANK-3)	Rattus norvegicus (Rat)	Shank2	NP_001004133.1;NP_597684.1 [Q9QX74-4];NP_597685.1 [Q9QX74-2];NP_958738.1 [Q9QX74-7];XP_017444213.1 [Q9QX74-7];	Q9QX74;
Q7TPF1	SMAGP_RAT	reviewed	Small cell adhesion glycoprotein (Small transmembrane and glycosylated protein)	Rattus norvegicus (Rat)	Smagp	NP_877969.1;XP_006242385.1;	
Q7TP36	SHRM2_RAT	reviewed	Protein Shroom2 (Liver regeneration-related protein LRRG167) (Protein Apxl)	Rattus norvegicus (Rat)	Shroom2		Q7TP36;
P18897	SMR2_RAT	reviewed	SMR2 protein	Rattus norvegicus (Rat)	Smr2		
O70593	SGTA_RAT	reviewed	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Small glutamine-rich protein with tetratricopeptide repeats 1)	Rattus norvegicus (Rat)	Sgta	NP_073194.1;	O70593;
P49889	ST1E3_RAT	reviewed	Estrogen sulfotransferase, isoform 3 (EST-3) (EC 2.8.2.4) (Estrone sulfotransferase) (Sulfotransferase, estrogen-preferring)	Rattus norvegicus (Rat)	Ste	NP_037015.1;	P49889;
Q08849	STX3_RAT	reviewed	Syntaxin-3	Rattus norvegicus (Rat)	Stx3	NP_112386.1;XP_017445263.1;	Q08849;
B5DF94	SRPX2_RAT	reviewed	Sushi repeat-containing protein SRPX2	Rattus norvegicus (Rat)	Srpx2	NP_001101713.1;XP_017457535.1;XP_017457536.1;	
D3ZVU1	SPRTN_RAT	reviewed	DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (Protein with SprT-like domain at the N terminus) (Spartan)	Rattus norvegicus (Rat)	Sprtn	XP_006255870.1;	
Q9QZA1	PHLA1_RAT	reviewed	Pleckstrin homology-like domain family A member 1 (Proline- and glutamine-rich protein) (PQ-rich protein) (PQR protein)	Rattus norvegicus (Rat)	Phlda1		
Q9DUE2	PHOSP_SENDA	reviewed	Phosphoprotein (Protein P)	Sendai virus (strain Hamamatsu) (SeV)	P/V/C		
Q9WV78	PLVAP_RAT	reviewed	Plasmalemma vesicle-associated protein (Plasmalemma vesicle protein 1) (PV-1) (gp68)	Rattus norvegicus (Rat)	Plvap	NP_064471.1;	Q9WV78;
P62025	PHAR2_RAT	reviewed	Phosphatase and actin regulator 2	Rattus norvegicus (Rat)	Phactr2	NP_999623.1;	P62025;
P09811	PYGL_RAT	reviewed	Glycogen phosphorylase, liver form (EC 2.4.1.1)	Rattus norvegicus (Rat)	Pygl	NP_071604.1;	P09811;
Q66H68	RBM47_RAT	reviewed	RNA-binding protein 47 (RNA-binding motif protein 47)	Rattus norvegicus (Rat)	Rbm47	NP_001005882.1;XP_006251011.1;XP_006251012.1;XP_006251013.1;XP_006251014.1;XP_006251016.1;XP_006251017.1;XP_008768374.1;	
P97538	RASM_RAT	reviewed	Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3)	Rattus norvegicus (Rat)	Mras		
P51158	RAB28_RAT	reviewed	Ras-related protein Rab-28	Rattus norvegicus (Rat)	Rab28	NP_446430.1;	P51158;
P49804	RGS8_RAT	reviewed	Regulator of G-protein signaling 8 (RGS8)	Rattus norvegicus (Rat)	Rgs8	NP_062217.1;XP_006250078.1;	P49804;
Q6AXN9	RIBC2_RAT	reviewed	RIB43A-like with coiled-coils protein 2	Rattus norvegicus (Rat)	Ribc2	NP_001013971.2;	
Q5FVJ4	RELL2_RAT	reviewed	RELT-like protein 2	Rattus norvegicus (Rat)	Rell2	NP_001014171.1;	
P18890	RHG39_RAT	reviewed	Rho GTPase-activating protein 39 (Preoptic regulatory factor 2) (PORF-2) (Fragment)	Rattus norvegicus (Rat)	Arhgap39		
P83883	RL36A_RAT	reviewed	60S ribosomal protein L36a (60S ribosomal protein L44)	Rattus norvegicus (Rat)	Rpl36a	NP_001121537.1;NP_112367.1;XP_017456534.1;XP_017458726.1;XP_017458727.1;	P83883;
P09895	RL5_RAT	reviewed	60S ribosomal protein L5	Rattus norvegicus (Rat)	Rpl5	NP_112361.1;XP_006250647.1;	P09895;
Q99PD2	RN138_RAT	reviewed	E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138)	Rattus norvegicus (Rat)	Rnf138	NP_446040.1;	
Q5PPM7	ROM1_RAT	reviewed	Rod outer segment membrane protein 1 (ROSP1)	Rattus norvegicus (Rat)	Rom1	NP_001009690.1;	
Q5M807	RNF5_RAT	reviewed	E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (RING-type E3 ubiquitin transferase RNF5)	Rattus norvegicus (Rat)	Rnf5	NP_001102495.1;	
P13471	RS14_RAT	reviewed	40S ribosomal protein S14	Rattus norvegicus (Rat)	Rps14	NP_073163.1;	P13471;
P49743	RXRB_RAT	reviewed	Retinoic acid receptor RXR-beta (Nuclear receptor coregulator 1) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta) (Fragment)	Rattus norvegicus (Rat)	Rxrb		P49743;
Q62674	S28A1_RAT	reviewed	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	Rattus norvegicus (Rat)	Slc28a1	NP_446315.1;	
P62819	S10A3_RAT	reviewed	Protein S100-A3 (Protein S-100E) (S100 calcium-binding protein A3)	Rattus norvegicus (Rat)	S100a3	NP_446133.1;XP_006232621.1;XP_006232622.1;XP_006232625.1;XP_017446066.1;XP_017446067.1;XP_017446068.1;XP_017446069.1;	
Q8CJ44	S13A5_RAT	reviewed	Solute carrier family 13 member 5 (Na(+)/citrate cotransporter) (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter)	Rattus norvegicus (Rat)	Slc13a5	NP_733768.1;	
P31647	S6A11_RAT	reviewed	Sodium- and chloride-dependent GABA transporter 3 (GAT-3) (Solute carrier family 6 member 11)	Rattus norvegicus (Rat)	Slc6a11	NP_077348.1;	P31647;
Q9JHZ9	S38A3_RAT	reviewed	Sodium-coupled neutral amino acid transporter 3 (N-system amino acid transporter 1) (Na(+)-coupled neutral amino acid transporter 3) (Solute carrier family 38 member 3) (System N amino acid transporter 1)	Rattus norvegicus (Rat)	Slc38a3	NP_665719.1;	Q9JHZ9;
Q6WWW3	S38A6_RAT	reviewed	Probable sodium-coupled neutral amino acid transporter 6 (N-system amino acid transporter 1) (NAT-1) (Na(+)-coupled neutral amino acid transporter 6) (Solute carrier family 38 member 6)	Rattus norvegicus (Rat)	Slc38a6	NP_001013117.1;	
Q9Z2J9	RUNX2_RAT	reviewed	Runt-related transcription factor 2 (Core-binding factor subunit alpha-1) (CBF-alpha-1) (Osteoblast-specific transcription factor 2) (OSF-2) (Fragments)	Rattus norvegicus (Rat)	Runx2		
Q80Z70	SE1L1_RAT	reviewed	Protein sel-1 homolog 1 (Suppressor of lin-12-like protein 1) (Sel-1L)	Rattus norvegicus (Rat)	Sel1l		Q80Z70;
Q5M954	SEN2_RAT	reviewed	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2)	Rattus norvegicus (Rat)	Tsen2	NP_001014079.1;XP_008761462.1;XP_008761463.1;XP_008761464.1;	Q5M954;
Q68FV4	SPEM2_RAT	reviewed	Uncharacterized protein SPEM2	Rattus norvegicus (Rat)	Spem2	NP_001017475.1;	
Q68FX5	SNPC2_RAT	reviewed	snRNA-activating protein complex subunit 2 (SNAPc subunit 2) (Small nuclear RNA-activating complex polypeptide 2) (snRNA-activating protein complex 45 kDa subunit) (SNAPc 45 kDa subunit)	Rattus norvegicus (Rat)	Snapc2	NP_001013139.1;	Q68FX5;
Q4JM44	SMS2_RAT	reviewed	Phosphatidylcholine:ceramide cholinephosphotransferase 2 (EC 2.7.8.27) (Sphingomyelin synthase 2)	Rattus norvegicus (Rat)	Sgms2	NP_001014065.1;XP_006233373.1;XP_008759723.1;XP_017446423.1;	
Q6AXX1	SLNL1_RAT	reviewed	Schlafen-like protein 1	Rattus norvegicus (Rat)	Slfnl1	NP_001019518.1;	
F1M8W4	SOX5_RAT	reviewed	Transcription factor SOX-5	Rattus norvegicus (Rat)	Sox5	NP_001258196.1 [F1M8W4-1];XP_008761572.1 [F1M8W4-2];	
Q5FVP2	SOSB2_RAT	reviewed	SOSS complex subunit B2 (Nucleic acid-binding protein 1) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2A) (Sensor of single-strand DNA complex subunit B2) (Sensor of ssDNA subunit B2) (SOSS-B2) (Single-stranded DNA-binding protein 2)	Rattus norvegicus (Rat)	Nabp1	NP_001014238.1;	
P26431	SL9A1_RAT	reviewed	Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)	Rattus norvegicus (Rat)	Slc9a1	NP_036784.1;	P26431;
P09005	SPI21_RAT	reviewed	Serine protease inhibitor 2.1 (SPI-2.1) (Fragment)	Rattus norvegicus (Rat)			
Q68FX9	SIR5_RAT	reviewed	NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)	Rattus norvegicus (Rat)	Sirt5	NP_001004256.1;XP_006253863.1;XP_006253864.1;XP_006253865.1;XP_006253866.1;XP_017456010.1;	Q68FX9;
Q6BDS1	SPI1_RAT	reviewed	Transcription factor PU.1	Rattus norvegicus (Rat)	Spi1	NP_001005892.1;	Q6BDS1;
O70143	SHC3_RAT	reviewed	SHC-transforming protein 3 (Neuronal Shc) (N-Shc) (SHC-transforming protein C) (Src homology 2 domain-containing-transforming protein C3) (SH2 domain protein C3)	Rattus norvegicus (Rat)	Shc3		O70143;
B2RZ55	SIR7_RAT	reviewed	NAD-dependent protein deacetylase sirtuin-7 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-7) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 7) (SIR2-like protein 7)	Rattus norvegicus (Rat)	Sirt7	NP_001100543.1;	B2RZ55;
Q05702	SG1C1_RAT	reviewed	Secretoglobin family 1C member 1 (Secretoglobin RYD5)	Rattus norvegicus (Rat)	Scgb1c1		
P97698	SMO_RAT	reviewed	Smoothened homolog (SMO)	Rattus norvegicus (Rat)	Smo	NP_036939.1;	P97698;
A1A5R9	STPG2_RAT	reviewed	Sperm-tail PG-rich repeat-containing protein 2	Rattus norvegicus (Rat)	Stpg2	NP_001094463.1;XP_017446536.1;	A1A5R9;
Q29YR5	ST2B1_RAT	reviewed	Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	Rattus norvegicus (Rat)	Sult2b1	NP_001034754.1 [Q29YR5-2];XP_006229093.1 [Q29YR5-1];	Q29YR5;
Q63564	SV2B_RAT	reviewed	Synaptic vesicle glycoprotein 2B (Synaptic vesicle protein 2B)	Rattus norvegicus (Rat)	Sv2b	NP_476555.1;	Q63564;
P0C5H6	TUTLA_RAT	reviewed	Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A)	Rattus norvegicus (Rat)	Igsf9	NP_001100667.1;XP_006250352.1;	P0C5H6;
P61265	STX1B_RAT	reviewed	Syntaxin-1B (P35B) (Syntaxin-1B2)	Rattus norvegicus (Rat)	Stx1b	NP_036832.1;	P61265;
P49890	STE2_RAT	reviewed	Estrogen sulfotransferase Ste2 (EC 2.8.2.4) (Estrogen sulfotransferase, isoform 6) (EST-6) (Estrone sulfotransferase) (Sulfotransferase, estrogen-preferring)	Rattus norvegicus (Rat)	Ste2		
P18297	SPRE_RAT	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	Rattus norvegicus (Rat)	Spr	NP_062054.1;	P18297;
P13668	STMN1_RAT	reviewed	Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Pr22 protein) (Prosolin) (pp17)	Rattus norvegicus (Rat)	Stmn1	NP_058862.1;XP_006239185.1;XP_017448691.1;	P13668;
P36202	PDLI4_RAT	reviewed	PDZ and LIM domain protein 4 (H-REV18) (LIM protein RIL) (RIT-18) (Reversion-induced LIM protein)	Rattus norvegicus (Rat)	Pdlim4	NP_058758.1;	P36202;
Q4V9H5	P20L1_RAT	reviewed	PHD finger protein 20-like protein 1	Rattus norvegicus (Rat)	Phf20l1	NP_001258368.1 [Q4V9H5-1];XP_008763758.1 [Q4V9H5-2];	Q4V9H5;
P24392	PEX2_RAT	reviewed	Peroxisome biogenesis factor 2 (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1)	Rattus norvegicus (Rat)	Pex2	NP_058930.1;XP_006232222.1;XP_006232223.1;	
P62516	PO3F4_RAT	reviewed	POU domain, class 3, transcription factor 4 (Brain-specific homeobox/POU domain protein 4) (Brain-4) (Brn-4) (Octamer-binding protein 9) (Oct-9) (Octamer-binding transcription factor 9) (OTF-9) (RHS2 class III POU protein)	Rattus norvegicus (Rat)	Pou3f4	NP_058948.1;	P62516;
Q6W5G4	PLPR2_RAT	reviewed	Phospholipid phosphatase-related protein type 2 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 2) (Plasticity-related gene 4 protein) (PRG-4)	Rattus norvegicus (Rat)	Plppr2		
Q8R415	PKR2_RAT	reviewed	Prokineticin receptor 2 (PK-R2) (G-protein coupled receptor 73-like 1) (G-protein coupled receptor I5E)	Rattus norvegicus (Rat)	Prokr2	NP_620434.1;	Q8R415;
M0RCP6	PROF3_RAT	reviewed	Profilin-3 (Profilin III)	Rattus norvegicus (Rat)	Pfn3	NP_001102957.1;	
Q63507	RL14_RAT	reviewed	60S ribosomal protein L14	Rattus norvegicus (Rat)	Rpl14		
P11250	RL34_RAT	reviewed	60S ribosomal protein L34	Rattus norvegicus (Rat)	Rpl34		
P62083	RS7_RAT	reviewed	40S ribosomal protein S7 (S8)	Rattus norvegicus (Rat)	Rps7	NP_113758.2;XP_002726666.2;XP_002729622.2;	P62083;
P62982	RS27A_RAT	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]	Rattus norvegicus (Rat)	Rps27a	NP_001292372.1;NP_112375.1;	P62982;
P24051	RS27L_RAT	reviewed	40S ribosomal protein S27-like	Rattus norvegicus (Rat)	Rps27l	NP_001263406.1;	P24051;
Q5XHY5	SYTC_RAT	reviewed	Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)	Rattus norvegicus (Rat)	Tars1	NP_001006977.1;	Q5XHY5;
Q5BK75	S46A3_RAT	reviewed	Solute carrier family 46 member 3	Rattus norvegicus (Rat)	Slc46a3	NP_001020139.1;XP_006248895.1;	
P97943	SCRB1_RAT	reviewed	Scavenger receptor class B member 1 (SRB1) (SR-BI)	Rattus norvegicus (Rat)	Scarb1	NP_113729.1;	P97943;
Q9EQS5	SC5D_RAT	reviewed	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)	Rattus norvegicus (Rat)	Sc5d	NP_446094.1;XP_017450895.1;	
P53790	SC5A1_RAT	reviewed	Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1)	Rattus norvegicus (Rat)	Slc5a1	NP_037165.1;	P53790;
